Match Number,Team 1,Team 2,Team 1 Score,Team 2 Score,Winner,Margin,City,Scorecard Links
1,England,New Zealand,282-9,283-1,New Zealand,New Zealand won by 9 wickets (with 82 balls remaining),Ahmedabad,https://www.cricbuzz.com/live-cricket-scorecard/75413/eng-vs-nz-1st-match-icc-cricket-world-cup-2023
2,Pakistan,Netherlands,286-10,205-10,Pakistan,Pakistan won by 81 runs,Hyderabad,https://www.cricbuzz.com/live-cricket-scorecard/75420/pak-vs-ned-2nd-match-icc-cricket-world-cup-2023
3,Afghanistan,Bangladesh,156-10,158-4,Bangladesh,Bangladesh won by 6 wickets (with 92 balls remaining),Dharamsala,https://www.cricbuzz.com/live-cricket-scorecard/75427/ban-vs-afg-3rd-match-icc-cricket-world-cup-2023
4,South Africa,Sri Lanka,428-5,326-10,South Africa,South Africa won by 102 runs,Delhi,https://www.cricbuzz.com/live-cricket-scorecard/75434/rsa-vs-sl-4th-match-icc-cricket-world-cup-2023
5,Australia,India,199-10,201-4,India,India won by 6 wickets (with 52 balls remaining),Chennai,https://www.cricbuzz.com/live-cricket-scorecard/75437/ind-vs-aus-5th-match-icc-cricket-world-cup-2023
6,New Zealand,Netherlands,322-7,223-10,New Zealand,New Zealand won by 99 runs,Hyderabad,https://www.cricbuzz.com/live-cricket-scorecard/75444/nz-vs-ned-6th-match-icc-cricket-world-cup-2023
7,England,Bangladesh,364-9,227-10,England,England won by 137 runs,Dharamsala,https://www.cricbuzz.com/live-cricket-scorecard/75451/eng-vs-ban-7th-match-icc-cricket-world-cup-2023
8,Sri Lanka,Pakistan,344-9,345-4,Pakistan,Pakistan won by 6 wickets (with 10 balls remaining),Hyderabad,https://www.cricbuzz.com/live-cricket-scorecard/75462/pak-vs-sl-8th-match-icc-cricket-world-cup-2023
9,Afghanistan,India,272-8,273-2,India,India won by 8 wickets (with 90 balls remaining),Delhi,https://www.cricbuzz.com/live-cricket-scorecard/75458/ind-vs-afg-9th-match-icc-cricket-world-cup-2023
10,South Africa,Australia,311-7,177-10,South Africa,South Africa won by 134 runs,Lucknow,https://www.cricbuzz.com/live-cricket-scorecard/75465/aus-vs-rsa-10th-match-icc-cricket-world-cup-2023
11,Bangladesh,New Zealand,245-9,248-2,New Zealand,New Zealand won by 8 wickets (with 43 balls remaining),Chennai,https://www.cricbuzz.com/live-cricket-scorecard/75469/nz-vs-ban-11th-match-icc-cricket-world-cup-2023
12,Pakistan,India,191-10,192-3,India,India won by 7 wickets (with 117 balls remaining),Ahmedabad,https://www.cricbuzz.com/live-cricket-scorecard/75476/ind-vs-pak-12th-match-icc-cricket-world-cup-2023
13,Afghanistan,England,284-10,215-10,Afghanistan,Afghanistan won by 69 runs,Delhi,https://www.cricbuzz.com/live-cricket-scorecard/75472/eng-vs-afg-13th-match-icc-cricket-world-cup-2023
14,Sri Lanka,Australia,209-10,215-5,Australia,Australia won by 5 wickets (with 88 balls remaining),Lucknow,https://www.cricbuzz.com/live-cricket-scorecard/75479/aus-vs-sl-14th-match-icc-cricket-world-cup-2023
15,Netherlands,South Africa,245-8,207-10,Netherlands,Netherlands won by 38 runs,Dharamsala,https://www.cricbuzz.com/live-cricket-scorecard/75486/rsa-vs-ned-15th-match-icc-cricket-world-cup-2023
16,New Zealand,Afghanistan,288-6,139-10,New Zealand,New Zealand won by 149 runs,Chennai,https://www.cricbuzz.com/live-cricket-scorecard/75490/nz-vs-afg-16th-match-icc-cricket-world-cup-2023
17,Bangladesh,India,256-8,261-3,India,India won by 7 wickets (with 51 balls remaining),Pune,https://www.cricbuzz.com/live-cricket-scorecard/75493/ind-vs-ban-17th-match-icc-cricket-world-cup-2023
18,Australia,Pakistan,367-9,305-10,Australia,Australia won by 62 runs,Bengaluru,https://www.cricbuzz.com/live-cricket-scorecard/75497/aus-vs-pak-18th-match-icc-cricket-world-cup-2023
19,Netherlands,Sri Lanka,262-10,263-5,Sri Lanka,Sri Lanka won by 5 wickets (with 10 balls remaining),Lucknow,https://www.cricbuzz.com/live-cricket-scorecard/75507/ned-vs-sl-19th-match-icc-cricket-world-cup-2023
20,South Africa,England,399-7,170-10,South Africa,South Africa won by 229 runs,Wankhede,https://www.cricbuzz.com/live-cricket-scorecard/75504/eng-vs-rsa-20th-match-icc-cricket-world-cup-2023
21,New Zealand,India,273-10,274-6,India,India won by 4 wickets (with 12 balls remaining),Dharamsala,https://www.cricbuzz.com/live-cricket-scorecard/75511/ind-vs-nz-21st-match-icc-cricket-world-cup-2023
22,Pakistan,Afghanistan,282-7,286-2,Afghanistan,Afghanistan won by 8 wickets (with 6 balls remaining),Chennai,https://www.cricbuzz.com/live-cricket-scorecard/75518/pak-vs-afg-22nd-match-icc-cricket-world-cup-2023
23,South Africa,Bangladesh,382-5,233-10,South Africa,South Africa won by 149 runs,Wankhede,https://www.cricbuzz.com/live-cricket-scorecard/75521/rsa-vs-ban-23rd-match-icc-cricket-world-cup-2023
24,Australia,Netherlands,399-8,90-10,Australia,Australia won by 309 runs,Delhi,https://www.cricbuzz.com/live-cricket-scorecard/75525/aus-vs-ned-24th-match-icc-cricket-world-cup-2023
25,England,Sri Lanka,156-10,160-2,Sri Lanka,Sri Lanka won by 8 wickets (with 146 balls remaining),Bengaluru,https://www.cricbuzz.com/live-cricket-scorecard/75539/eng-vs-sl-25th-match-icc-cricket-world-cup-2023
26,Pakistan,South Africa,270-10,271-9,South Africa,South Africa won by 1 wicket (with 16 balls remaining),Chennai,https://www.cricbuzz.com/live-cricket-scorecard/75535/pak-vs-rsa-26th-match-icc-cricket-world-cup-2023
27,Australia,New Zealand,388-10,383-9,Australia,Australia won by 5 runs,Dharamsala,https://www.cricbuzz.com/live-cricket-scorecard/75532/aus-vs-nz-27th-match-icc-cricket-world-cup-2023
28,Netherlands,Bangladesh,229-10,142-10,Netherlands,Netherlands won by 87 runs,Eden Gardens,https://www.cricbuzz.com/live-cricket-scorecard/75553/ned-vs-ban-28th-match-icc-cricket-world-cup-2023
29,India,England,229-9,129-10,India,India won by 100 runs,Lucknow,https://www.cricbuzz.com/live-cricket-scorecard/75542/ind-vs-eng-29th-match-icc-cricket-world-cup-2023
30,Sri Lanka,Afghanistan,241-10,242-3,Afghanistan,Afghanistan won by 7 wickets (with 28 balls remaining),Pune,https://www.cricbuzz.com/live-cricket-scorecard/75549/afg-vs-sl-30th-match-icc-cricket-world-cup-2023
31,Bangladesh,Pakistan,204-10,205-3,Pakistan,Pakistan won by 7 wickets (with 105 balls remaining),Eden Gardens,https://www.cricbuzz.com/live-cricket-scorecard/75560/pak-vs-ban-31st-match-icc-cricket-world-cup-2023
32,South Africa,New Zealand,357-4,167-10,South Africa,South Africa won by 190 runs,Pune,https://www.cricbuzz.com/live-cricket-scorecard/75567/nz-vs-rsa-32nd-match-icc-cricket-world-cup-2023
33,India,Sri Lanka,357-8,55-10,India,India won by 302 runs,Wankhede,https://www.cricbuzz.com/live-cricket-scorecard/75563/ind-vs-sl-33rd-match-icc-cricket-world-cup-2023
34,Netherlands,Afghanistan,179-10,181-3,Afghanistan,Afghanistan won by 7 wickets (with 111 balls remaining),Lucknow,https://www.cricbuzz.com/live-cricket-scorecard/75570/ned-vs-afg-34th-match-icc-cricket-world-cup-2023
35,New Zealand,Pakistan,401-6,200-1,Pakistan,Pakistan won by 21 runs (DLS method),Bengaluru,https://www.cricbuzz.com/live-cricket-scorecard/75577/nz-vs-pak-35th-match-icc-cricket-world-cup-2023
36,Australia,England,286-10,253-10,Australia,Australia won by 33 runs,Ahmedabad,https://www.cricbuzz.com/live-cricket-scorecard/75574/eng-vs-aus-36th-match-icc-cricket-world-cup-2023
37,India,South Africa,326-5,83-10,India,India won by 243 runs,Eden Gardens,https://www.cricbuzz.com/live-cricket-scorecard/75581/ind-vs-rsa-37th-match-icc-cricket-world-cup-2023
38,Sri Lanka,Bangladesh,279-10,282-7,Bangladesh,Bangladesh won by 3 wickets (with 53 balls remaining),Delhi,https://www.cricbuzz.com/live-cricket-scorecard/75588/ban-vs-sl-38th-match-icc-cricket-world-cup-2023
39,Afghanistan,Australia,291-5,293-7,Australia,Australia won by 3 wickets (with 19 balls remaining),Wankhede,https://www.cricbuzz.com/live-cricket-scorecard/75609/aus-vs-afg-39th-match-icc-cricket-world-cup-2023
40,England,Netherlands,339-9,179-10,England,England won by 160 runs,Pune,https://www.cricbuzz.com/live-cricket-scorecard/75595/eng-vs-ned-40th-match-icc-cricket-world-cup-2023
41,Sri Lanka,New Zealand,171-10,172-5,New Zealand,New Zealand won by 5 wickets (with 160 balls remaining),Bengaluru,https://www.cricbuzz.com/live-cricket-scorecard/75602/nz-vs-sl-41st-match-icc-cricket-world-cup-2023
42,Afghanistan,South Africa,244-10,247-5,South Africa,South Africa won by 5 wickets (with 15 balls remaining),Ahmedabad,https://www.cricbuzz.com/live-cricket-scorecard/75616/rsa-vs-afg-42nd-match-icc-cricket-world-cup-2023
43,Bangladesh,Australia,306-8,307-2,Australia,Australia won by 8 wickets (with 32 balls remaining),Pune,https://www.cricbuzz.com/live-cricket-scorecard/75633/aus-vs-ban-43rd-match-icc-cricket-world-cup-2023
44,England,Pakistan,337-9,244-10,England,England won by 93 runs,Eden Gardens,https://www.cricbuzz.com/live-cricket-scorecard/75630/eng-vs-pak-44th-match-icc-cricket-world-cup-2023
45,India,Netherlands,410-4,250-10,India,India won by 160 runs,Bengaluru,https://www.cricbuzz.com/live-cricket-scorecard/75623/ind-vs-ned-45th-match-icc-cricket-world-cup-2023
46,India,New Zealand,397-4,327-10,India,India won by 70 runs,Wankhede,https://www.cricbuzz.com/live-cricket-scorecard/75640/ind-vs-nz-1st-semi-final-1st-v-4th-icc-cricket-world-cup-2023
47,South Africa,Australia,212-10,215-7,Australia,Australia won by 3 wickets (with 16 balls remaining),Eden Gardens,https://www.cricbuzz.com/live-cricket-scorecard/75647/rsa-vs-aus-2nd-semi-final-2nd-v-3rd-icc-cricket-world-cup-2023
48,India,Australia,240-10,241-4,Australia,Australia won by 6 wickets (with 42 balls remaining),Ahmedabad,https://www.cricbuzz.com/live-cricket-scorecard/75651/ind-vs-aus-final-icc-cricket-world-cup-2023
